iter	Passed	Remaining
764	5489	1686
765	5496	1679
766	5502	1671
767	5509	1664
768	5516	1657
769	5522	1649
770	5529	1642
771	5536	1635
772	5543	1627
773	5550	1620
774	5557	1613
775	5564	1606
776	5571	1598
777	5577	1591
778	5584	1584
779	5591	1577
780	5598	1569
781	5605	1562
782	5612	1555
783	5619	1548
784	5625	1540
785	5632	1533
786	5638	1526
787	5645	1518
788	5651	1511
789	5658	1504
790	5664	1496
791	5671	1489
792	5677	1482
793	5683	1474
794	5690	1467
795	5696	1460
796	5703	1452
797	5710	1445
798	5716	1438
799	5722	1430
800	5729	1423
801	5736	1416
802	5742	1408
803	5749	1401
804	5755	1394
805	5762	1387
806	5769	1379
807	5775	1372
808	5782	1365
809	5788	1357
810	5795	1350
811	5801	1343
812	5808	1335
813	5814	1328
814	5821	1321
815	5827	1314
816	5834	1306
817	5840	1299
818	5846	1292
819	5853	1284
820	5860	1277
821	5866	1270
822	5873	1263
823	5879	1255
824	5886	1248
825	5892	1241
826	5899	1234
827	5906	1226
828	5912	1219
829	5918	1212
830	5925	1205
831	5932	1197
832	5939	1190
833	5945	1183
834	5951	1176
835	5958	1168
836	5964	1161
837	5971	1154
838	5978	1147
839	5984	1139
840	5991	1132
841	5997	1125
842	6005	1118
843	6012	1111
844	6018	1104
845	6026	1096
846	6032	1089
847	6039	1082
848	6045	1075
849	6052	1068
850	6059	1060
851	6065	1053
852	6072	1046
853	6078	1039
854	6085	1032
855	6092	1024
856	6098	1017
857	6105	1010
858	6111	1003
859	6118	995
860	6125	988
861	6131	981
862	6138	974
863	6145	967
864	6152	960
865	6159	953
866	6165	945
867	6172	938
868	6179	931
869	6186	924
870	6192	917
871	6199	909
872	6206	902
873	6212	895
874	6219	888
875	6226	881
876	6232	874
877	6239	867
878	6246	859
879	6253	852
880	6259	845
881	6266	838
882	6273	831
883	6280	824
884	6287	816
885	6293	809
886	6300	802
887	6307	795
888	6313	788
889	6320	781
890	6326	773
891	6333	766
892	6339	759
893	6346	752
894	6353	745
895	6359	738
896	6366	731
897	6372	723
898	6378	716
899	6385	709
900	6392	702
901	6399	695
902	6406	688
903	6413	681
904	6420	673
905	6426	666
906	6433	659
907	6440	652
908	6447	645
909	6454	638
910	6460	631
911	6467	624
912	6474	616
913	6481	609
914	6487	602
915	6494	595
916	6501	588
917	6507	581
918	6514	574
919	6521	567
920	6527	559
921	6534	552
922	6541	545
923	6549	538
924	6556	531
925	6563	524
926	6569	517
927	6575	510
928	6583	503
929	6590	496
930	6597	488
931	6603	481
932	6610	474
933	6617	467
934	6623	460
935	6629	453
936	6636	446
937	6643	439
938	6650	432
939	6656	424
940	6664	417
941	6670	410
942	6677	403
943	6683	396
944	6689	389
945	6697	382
946	6703	375
947	6710	368
948	6716	360
949	6723	353
950	6730	346
951	6736	339
952	6743	332
953	6749	325
954	6756	318
955	6763	311
956	6770	304
957	6776	297
958	6783	290
959	6790	282
960	6798	275
961	6804	268
962	6811	261
963	6817	254
964	6824	247
965	6831	240
966	6837	233
967	6844	226
968	6851	219
969	6858	212
970	6864	205
971	6871	197
972	6878	190
973	6885	183
974	6892	176
975	6898	169
976	6905	162
977	6912	155
978	6919	148
979	6925	141
980	6932	134
981	6939	127
982	6946	120
983	6952	113
984	6959	105
985	6966	98
986	6973	91
987	6979	84
988	6985	77
989	6992	70
990	6999	63
991	7005	56
992	7012	49
993	7018	42
994	7025	35
995	7032	28
996	7038	21
997	7045	14
998	7051	7
999	7059	0
